Altura (m),Idade,Sexo,Velocidade média (m/s),Cadência,Comprimento médio passada,Erro absoluto médio do comprimento de passo em metros,Desvio padrão comprimento passo medido em metros,Desvio padrão do erro de comprimento de passo em metros,Largura da passada,Erro largura da passada,Desvio padrão largura da passada,Comprimento médio de meio passo em metros,Erro absoluto médio do meio comprimento de passo em metros,Desvio padrão do comprimento médio de meio passo em metros,Desvio padrão do erro de comprimento de meio passo em metros,Comprimento do Swing em metros,Erro absoluto médio do swing em metros,Desvio padrão do swing em metros,Desvio padrão do erro de swing em metros,Comprimento do Stance em metros,Erro absoluto médio do stance em metros,Desvio padrão do stance em metros,Desvio padrão do erro de stance em metros,Distância inicial do pé em metros,Desvio padrão da distância inicial entre os pés,Ângulo médio de abertura das pernas durante a caminhada (°),Desvio padrão do ângulo médio dos passos em graus,Número de amostras do ângulo,Ângulo médio da coxa do joelho esquerdo,Desvio padrão do ângulo  médio da coxa do joelho esquerdo,Ângulo médio de flexão do joelho esquerdo,Desvio padrão do ângulo de flexão do joelho esquerdo,Ângulo médio de flexão do joelho direito,Desvio padrão do ângulo de flexão do joelho direito,Ângulo extensão do quadril (°),Desvio padrão do ângulo de extensão do quadril (°),Simetria do comprimento de passo,Desvio padrão da simetria do comprimento de passo,Movimento
1.7650,20.00,0,1.6244,55.4428,0.8432,0.3777,0.3777, 0.29,0.1983,-0.0233,0.1964,0.5176,0.0726,0.3182,0.2090, 0.7520,0.3220,0.2486,0.2486,0.8950,0.4350,0.1818 ,0.1818,0.1750, 0.0875,12.9671,13.7051,21,6.227865286784182,63.73350712150591,34.090069529314306,30.4680697682281,26.45158772705071,28.364083662220768,-21.745159506826482,25.121270900694686,0.46369340219941246,0.37252218290404254,0
1.7650,20.00,0,1.5005,53.5354,0.9750,0.1925,0.1925, 0.15,0.1569,0.0181,0.1401,0.5286,0.0836,0.2415,0.1789, 0.6900,0.2600,0.2252,0.2252,0.7697,0.3097,0.2328 ,0.2328,0.1750, 0.0875,14.5685,14.0297,50,4.624161641667825,59.3841284729363,26.12304748904258,23.938033046842666,25.633570567259454,23.984491072364648,-7.2629912433436274,23.463326969744898,0.7127066957583813,0.42084597763819503,0
1.7650,20.00,0,1.4711,49.7327,1.0774,0.1771,0.1771, 0.13,0.1355,0.0395,0.1150,0.5312,0.0862,0.2019,0.1558, 0.6551,0.2251,0.2042,0.2042,0.7081,0.2481,0.2291 ,0.2291,0.1750, 0.0875,14.7565,13.8751,84,8.881939508856801,59.18782419377992,22.074516519155818,20.945872594063726,22.270845942214727,21.207551374408066,-7.0472626140795604,20.45777166216479,0.8115864439025728,0.3911061985189235,0
1.7650,20.00,0,1.5383,56.5667,1.0792,0.1659,0.1659, 0.13,0.1339,0.0411,0.1076,0.5353,0.0903,0.1782,0.1398, 0.6320,0.2020,0.1905,0.1905,0.6781,0.2181,0.2137 ,0.2137,0.1750, 0.0875,15.7936,14.4196,100,11.569118170976786,60.22579920892804,21.74014082614499,20.065158134946483,23.267299697136643,21.647239205243995,-7.477713902666032,19.31775980532573,0.8455345047866154,0.3530930380861456,0
1.7650,20.00,0,1.5157,58.1201,1.0795,0.1565,0.1565, 0.12,0.1291,0.0459,0.0999,0.5290,0.0840,0.1611,0.1306, 0.6103,0.1803,0.1806,0.1806,0.6489,0.1889,0.2061 ,0.2061,0.1750, 0.0875,16.0585,14.1701,122,13.096530481560249,59.871290379247434,21.126964295561155,19.455398787231033,22.53741328542884,20.99876071752778,-3.844418107505717,20.112561526935636,0.8739609660714233,0.3259556930409783,0
1.8000,34.00,0,1.3177,36.4686,0.8732,0.3586,0.3586, 0.31,0.2721,-0.1031,0.1547,0.5421,0.0671,0.3186,0.1997, 0.7917,0.3217,0.2086,0.2086,0.8859,0.4059,0.1976 ,0.1976,0.1690, 0.0845,11.0164,15.5025,32,-39.753671601392625,61.77157120208685,54.98703360497964,27.807596339197072,57.73288810918682,28.984202270059775,-3.665303602221843,99.28387943522702,0.5562639182631514,0.4492073975037832,0
1.8000,34.00,0,1.7624,45.8611,1.0917,0.2418,0.2418, 0.17,0.1982,-0.0292,0.1435,0.5566,0.0816,0.2394,0.1701, 0.7230,0.2530,0.1965,0.1965,0.7785,0.2985,0.2233 ,0.2233,0.1690, 0.0845,16.8866,15.9729,59,-25.272910080168145,66.81995193116418,48.875327323028074,28.94910079343819,49.3250625826655,30.320613057257564,1.8381832812834695,77.28308543868498,0.7507699019137545,0.422771048262017,0
1.8000,34.00,0,1.8465,54.4678,1.1073,0.2081,0.2081, 0.15,0.1887,-0.0197,0.1284,0.5600,0.0850,0.2008,0.1502, 0.6778,0.2078,0.1890,0.1890,0.7322,0.2522,0.2094 ,0.2094,0.1690, 0.0845,18.6655,15.7160,78,-24.604339700821978,68.00763874839092,42.775009999589635,28.737749038554515,41.69854532229921,30.858507948677307,5.013048513267673,71.56026935429072,0.7972782833408617,0.3667104400635269,0
1.7650,20.00,0,1.6264,47.8965,0.8203,0.4120,0.4120, 0.30,0.2206,-0.0456,0.1812,0.5437,0.0987,0.3202,0.1889, 0.7818,0.3518,0.2214,0.2214,0.8978,0.4378,0.1769 ,0.1769,0.1750, 0.0875,12.5831,14.6768,25,-21.741824549210293,69.69243774534037,36.412299421233485,30.02389587246394,38.2504920128084,29.057415624581694,-40.008614436687125,39.69419868711784,0.5179582621034236,0.42618557307066035,0
1.7650,20.00,0,1.6432,50.6572,1.0285,0.2957,0.2957, 0.19,0.1612,0.0138,0.1395,0.5316,0.0866,0.2413,0.1770, 0.6924,0.2624,0.2216,0.2216,0.7717,0.3117,0.2322 ,0.2317,0.1750, 0.0875,16.2443,14.5795,54,-12.838988774071673,70.19207997473276,31.856817013536425,29.264514136621646,30.855612550857842,28.621758267272295,-16.215061819216,37.090233779765306,0.7084683795736089,0.4053518201240971,0
1.7650,20.00,0,1.8105,59.1243,1.0391,0.2336,0.2336, 0.16,0.1507,0.0243,0.1234,0.5524,0.1074,0.2035,0.1485, 0.6742,0.2442,0.1945,0.1945,0.7234,0.2634,0.2178 ,0.2175,0.1750, 0.0875,18.8027,14.9700,72,-12.819704237442652,71.6413577638648,31.81795049042239,27.293849691667926,26.48547350147294,27.44195848625175,-9.913702179904085,34.92765811981602,0.8120529327415913,0.37972203691649176,0
1.7620,39.00,0,2.3592,74.7936,0.8222,0.4133,0.4133, 0.26,0.1978,-0.0358,0.2099,0.5416,0.1261,0.3184,0.1784, 0.7890,0.3860,0.2115,0.2115,0.8881,0.4601,0.1939 ,0.1939,0.1620, 0.0810,16.8845,15.7425,16,-39.165721366667576,61.23149964112511,15.438594063260322,15.287772512340188,22.912275461652943,19.501941604785923,-14.267897557730045,15.36139234110755,0.5466804764966808,0.4415431343009857,0
1.7620,39.00,0,2.2063,62.8425,1.0721,0.3155,0.3155, 0.17,0.1474,0.0146,0.1436,0.5859,0.1704,0.2445,0.1406, 0.7385,0.3355,0.1907,0.1907,0.8070,0.3790,0.1954 ,0.1954,0.1620, 0.0810,21.1036,15.4021,43,-13.545175469659174,69.09245383201356,15.973969502266236,12.999634226592818,22.896910765983392,19.774893397084966,-6.891950614019355,15.228591166505874,0.723371672105653,0.40965435215483004,0
1.7620,39.00,0,2.2488,72.3478,1.1611,0.2726,0.2726, 0.15,0.1396,0.0224,0.1261,0.5979,0.1824,0.2106,0.1301, 0.6970,0.2940,0.1879,0.1879,0.7746,0.3466,0.1785 ,0.1785,0.1620, 0.0810,21.9975,15.8390,58,-9.946754488716861,70.5198861771519,18.215935317867903,15.419640534598027,21.277217131714693,19.66510033621276,-1.8157402724449754,17.749166160744533,0.7594317931135771,0.36349308481534187,0
1.7100,23.00,0,1.6158,42.8046,0.8731,0.3300,0.3300, 0.26,0.2454,-0.0634,0.1553,0.5165,0.0715,0.3188,0.2110, 0.7735,0.3435,0.2293,0.2293,0.8721,0.4121,0.2216 ,0.2216,0.1820, 0.0910,11.9402,11.5378,28,-27.980975984798487,63.66917840928734,34.536087010916674,20.441376898702845,40.832139557737115,26.22479950685004,-26.642676603751962,25.17565174972625,0.5733143303014745,0.5022935336084214,0
1.7100,23.00,0,1.9831,54.3963,0.9896,0.2382,0.2382, 0.18,0.2028,-0.0208,0.1285,0.5517,0.1067,0.2423,0.1668, 0.7253,0.2953,0.1997,0.1997,0.7689,0.3089,0.2326 ,0.2326,0.1820, 0.0910,17.6110,13.4016,51,-29.496110302287008,63.50131804452065,23.72466371503623,20.17682112902698,29.51601507951822,21.895141316522366,-20.199970453310193,21.53173012785469,0.7910092100418814,0.47167702063622774,0
1.7100,23.00,0,1.9342,49.7617,1.1016,0.1939,0.1939, 0.14,0.1847,-0.0027,0.1090,0.5649,0.1199,0.2033,0.1422, 0.6873,0.2573,0.1852,0.1852,0.7306,0.2706,0.2124 ,0.2124,0.1820, 0.0910,18.6251,13.1709,87,-21.673782404616993,68.75639755130382,24.514668290967105,21.10299731924411,23.643956859523,20.453375798886288,-8.339028432249947,23.892505066414756,0.831094830919134,0.4036654199354587,0
1.7100,23.00,0,1.9666,56.6268,1.1180,0.1797,0.1797, 0.13,0.1739,0.0081,0.1046,0.5577,0.1127,0.1807,0.1346, 0.6543,0.2243,0.1788,0.1788,0.6937,0.2337,0.2069 ,0.2069,0.1820, 0.0910,19.1340,13.1854,104,-21.058169598672723,68.70205577496176,23.231348427963916,20.456982210354372,22.617327978440375,19.646201312858725,-5.701765420534242,23.3057725509701,0.861767546823784,0.3630121670288723,0
1.6800,59.00,0,1.4219,40.4367,0.8581,0.3876,0.3876, 0.28,0.1611,0.0139,0.1628,0.5475,0.1025,0.3192,0.1836, 0.7834,0.3534,0.2171,0.2171,0.9009,0.4409,0.1717 ,0.1717,0.1750, 0.0875,11.9913,16.4502,30,-8.843810306462276,66.97299222777218,21.76289694288933,17.603997293523484,25.562997718335748,22.729521955033427,-20.878018521108405,21.294783942643683,0.5068495015132738,0.3991927307334206,0
1.6800,59.00,0,1.6470,44.7382,1.1086,0.2269,0.2269, 0.14,0.1330,0.0420,0.1214,0.5683,0.1233,0.2391,0.1518, 0.7209,0.2909,0.1983,0.1983,0.7982,0.3382,0.2019 ,0.2019,0.1750, 0.0875,17.8408,16.7753,62,-0.48132495290326616,68.97566398585461,16.555645382661613,16.460028878360113,23.13082327094557,21.731096521662664,-8.927784550826122,22.720087545612742,0.7060876805915101,0.3940093321547032,0
1.6800,59.00,0,1.7241,57.3904,1.1108,0.2101,0.2101, 0.13,0.1299,0.0451,0.1119,0.5568,0.1118,0.2006,0.1422, 0.6805,0.2505,0.1857,0.1857,0.7242,0.2642,0.2168 ,0.2168,0.1750, 0.0875,19.1426,16.3581,75,-6.1494536895725345,68.20951561022667,15.758494538002626,15.866990036498485,22.84705524467052,21.432014344240027,-5.2534446759771765,23.339453563911405,0.822830123079328,0.38212365694130007,0
1.7650,40.00,0,1.8631,57.4299,0.8312,0.3717,0.3717, 0.29,0.2075,-0.0325,0.1882,0.5210,0.0760,0.3215,0.2105, 0.7654,0.3354,0.2426,0.2426,0.8859,0.4259,0.1977 ,0.1977,0.1750, 0.0875,15.1822,14.7887,20,-12.080427462002662,66.32862587361247,15.448723795117457,20.237042321950177,2.702143222755126,2.3600214675279285,-13.77175340825298,15.214103711590292,0.5269935848577362,0.4681000517061775,0
1.7650,40.00,0,1.8067,54.1482,0.9837,0.2848,0.2848, 0.20,0.1558,0.0192,0.1353,0.5515,0.1065,0.2461,0.1720, 0.7264,0.2964,0.2066,0.2066,0.7675,0.3075,0.2331 ,0.2331,0.1750, 0.0875,18.0861,14.6789,49,-12.967851870635249,64.42685938319943,20.195791524019945,20.839998417458567,2.4521764649546682,2.1656129297690003,-3.5169266040617604,17.100329148601645,0.8076905470768508,0.5065097183923005,0
1.7650,40.00,0,1.9819,63.5653,1.0758,0.2640,0.2640, 0.18,0.1477,0.0273,0.1197,0.5784,0.1334,0.2090,0.1436, 0.7082,0.2782,0.1819,0.1819,0.7317,0.2717,0.2112 ,0.2112,0.1750, 0.0875,21.1712,15.8500,65,-8.192510140483241,67.17756430670943,17.864024933496335,18.540686130659452,10.739569258849118,13.369128798905164,-0.7417570514327648,17.384424864399904,0.8758950870235017,0.4415162622669547,0
1.7750,30.00,0,1.3707,42.1385,0.8306,0.3715,0.3715, 0.28,0.1867,0.0113,0.1769,0.5098,0.0743,0.3195,0.2137, 0.7500,0.3350,0.2543,0.2543,0.8873,0.4313,0.1952 ,0.1952,0.1980, 0.0990,10.4609,13.9795,27,-46.83620427786773,48.526880222063824,19.952014859458874,13.111299709122378,30.989779171392872,19.111403398263995,-20.584826083631015,21.073704779725084,0.4879967159394947,0.42192660412767313,0
